Event,year,Amount stolen,Source
SirenProtocolExploiter,2021,750ETH,https://twitter.com/sirenprotocol/status/1433633828615200769
MaliciousActorExploitAbuser,2021,"583,216.827342391972390195 Frax (FRAX)",https://twitter.com/YannickCrypto/status/1469856548025520128
AkropolisHacker,2020,"$2,000,000 ",https://cointelegraph.com/news/akropolis-defi-protocol-paused-as-hackers-get-away-with-2m-in-dai
BentFinanceExploiter,2021,513K cvxcrv LP ,https://www.halborn.com/blog/post/explained-the-bent-finance-hack-december-2021
FinNexusHacker,2021,"323,000,000 FNX",https://medium.com/@crdt/who-is-the-hacker-of-nexus-mutual-easyfi-finnexus-f9a80f67f818
PolyNetworkExploiter,2021,"$268,000,000 ",https://cryptosec.info/defi-hacks/
Arthur0xWalletHacker,2022,"$1,600,000 ",https://techstory.in/hacker-targets-defiance-capital-founder-loses-1-6-million/
BondlyFinanceExploiter,2021,"$200,460,000 ",https://medium.com/mantra-dao/bondly-exploit-how-it-unfolded-on-zenterest-postmortem-d8120d8d784b
ATOStolenFunds,2022,"$1,500,000 ",https://www.newshub.co.nz/home/technology/2022/01/millions-in-cryptocurrency-stolen-despite-crypto-com-denying-money-was-lost.html
BunnyFinanceExploiter ,2021,"$200,000,000 ",https://finance.yahoo.com/news/pancakebunny-attacked-massive-200m-flash-050619340.html?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAAH8Em3Ccp-GCn15eq-cHvCobBoTvWOoQ0whGSwKyUHt6sIuH8XTJFS8PRPQ9mf-3KqAg1csvW8DohS_lQ1oJYJ-YyLr_6oMJi5RehREHjR9MFpH6qIJePXGGeqhGY9zAYPo2Bp6E4YY66fbGepfxPdkuQ_kvYnw0BtSvVbVLwU9A
BancorHacker,2018,"$23,500,000 ",https://techcrunch.com/2018/07/10/bancor-loses-23-5m/
Bitmart Hacker,2021,"$150,000,000 ",https://www.theblockcrypto.com/linked/126367/crypto-exchange-bitmart-reportedly-hacked-for-100-million
Vulcan Forged Hacker,2021,"$140,000,000 ",https://www.theblockcrypto.com/post/127270/96-private-keys-stolen-from-vulcan-forged-in-140-million-theft
CreamFinanceFlashLoanExploiter,2021,"$130,000,000 ",https://www.coindesk.com/business/2021/10/27/cream-finance-exploited-in-flash-loan-attack-worth-over-100m/
BitpointHacker,2019,"$32,000,000 ",https://www.coinspeaker.com/bitpoint-hacker-attack/
BadgerDAOExploiter,2021,"$120,000,000 ",https://www.coindesk.com/business/2021/12/02/badger-dao-protocol-suffers-10m-exploit/
EasyfiHacker,2021,"$80,000,000 ",https://www.coindesk.com/defi-protocol-easyfi-reports-hack
LiquidExchangeHacker,2021,"$80,000,000 ",https://cointelegraph.com/news/breaking-liquid-exchange-hacked-to-the-tune-of-80-million
AnySwapV3Hack,2021,"$78,700,000 ",https://rekt.news/zh/anyswap-rekt/
CashioAppExploiter,2022,"$52,800,000 ",https://www.certik.com/zh-CN/resources/blog/3bHgCDnWaqUeQJn6695bea-cashio-app-incident-analysis
AscendEXHacker,2021,"$78,000,000 ",https://www.theblock.co/post/127231/crypto-exchange-ascendex-hacked-for-78-million-in-latest-swindle
CoinrailHacker,2018,"$40,000,000 ",https://www.coindesk.com/coinrail-exchange-hacked-loses-possibly-40-million-in-cryptos
AnubisDAOLiquidityRug,2021,"$60,000,000 ",https://twitter.com/WuBlockchain/status/1454071627919106056
CryptopiaHacker,2019,"$45,000 ",https://news.bitcoin.com/troubled-nz-crypto-exchange-cryptopia-suffers-another-hack-in-the-midst-of-liquidation-process/
bZxPrivKeyExploiter,2021,"$55,000,000 ",https://www.theblockcrypto.com/linked/123429/defi-protocol-bzx-compromised-again-55-million-stolen-in-private-key-leak
DEGOandCocosExploiter,2022,"$10,000,000,000 ",https://cryptopotato.com/defi-project-dego-finance-hacked-exploiters-reportedly-drain-over-10m/
DragonExHacker,2019,n/a,https://www.coindesk.com/singapore-based-crypto-exchange-dragonex-has-been-hacked
Uranium Finance Hacker,2021,"$50,000,000 ",https://cointelegraph.com/news/50m-reportedly-stolen-from-bsc-based-uranium-finance
AlphaHomoraV2Exploiter,2021,"$37,000,000 ",https://cointelegraph.com/news/alpha-homora-loses-37-million-following-iron-bank-exploit
Fake: Metadium Presale,2018,,
Fake_Phishing5041,2022,"$91,000 ",https://twitter.com/regenesturk/status/1480420679115751424
Vee Finance Exploiter,2021,"$35,000,000 ",https://www.coindesk.com/tech/2021/09/21/vee-finance-hit-for-35m-in-second-major-exploit-on-avalanche/
FloatProtocolFuseExploiter,2022,"$250,000 ",https://medium.com/@hacxyk/we-rescued-4m-from-rari-capital-but-was-it-worth-it-39366d4d1812
MonoXFinanceExploiter,2021,"$31,000,000 ",https://www.theblockcrypto.com/linked/125780/31-million-stolen-from-monox-on-polygon-and-ethereum-in-latest-defi-hack
PopsicleSwapHacker,2021,"$25,000,000 ",https://decrypt.co/77620/defi-protocol-popsicle-finance-hacked-25-million
GatecoinHacker,2016,"$2,140,000 ",https://www.coindesk.com/gatecoin-2-million-bitcoin-ether-security-breach
HarvestFinanceHacker,2020,"$24,000,000 ",https://www.coindesk.com/harvest-finance-24m-attack-triggers-570m-bank-run-in-latest-defi-exploit
xToken Exploiter,2021,"$24,500,000 ",https://www.coindesk.com/defi-protocol-xtoken-suffers-24-5m-exploit
IndexedFinanceExploiter,2021,"$16,000,000 ",https://cryptobriefing.com/inside-the-war-room-how-indexed-finance-traced-its-16m-hacker/
KucoinHacker,2020,"$280,000,000 ",https://www.coindesk.com/hackers-drain-kucoin-crypto-exchanges-funds
LCXHacker,2022,"$6,800,000 ",https://cointelegraph.com/news/lcx-loses-6-8m-in-a-hot-wallet-compromise-over-ethereum-blockchain
Lendf.MeHacker,2020,"$25,236,849 ",https://peckshield.medium.com/uniswap-lendf-me-hacks-root-cause-and-loss-analysis-50f3263dcc09
RariCapitalExploiter,2021,"$15,000,000 ",https://www.coindesk.com/rari-capital-reports-exploit-in-eth-pool
FurucomboHacker,2021,"$14,000,000 ",https://www.theblockcrypto.com/linked/96572/defi-building-block-service-furucombo-exploited-for-14m
THORChain Exploiter,2021,"$13,000,000 ",https://www.theblockcrypto.com/post/112308/thorchain-suffers-8-million-loss-by-hacker-wanting-to-teach-lesson
EtherwrappedRugContract,2021,"$12,000,000 ",https://cryptobriefing.com/ethereum-project-airdrops-scam-token-then-pulls-the-rug/
Yearn (yDai) Exploiter,2021,"$11,000,000 ",https://decrypt.co/56659/14-million-gone-in-yearn-finance-exploit
SaturnbeamFiRugPull,2021,"$10,000,000 ",https://gist.github.com/marsrobertson/f170d6c4e1b22df51118b5b3cf3e6a6c
MultisigExploitHacker,2017,"$30,000,000 ",https://blog.openzeppelin.com/on-the-parity-wallet-multisig-hack-405a8c12e8f7/
NexusMutualHacker,2020,"$2,600,000 ",https://decrypt.co/51650/the-nexus-mutual-hacker-is-asking-for-2-6-million-in-ethereum
Visor Finance Exploiter,2021,"$8,100,000 ",https://beincrypto.com/visor-finance-hacked-for-8m-in-latest-defi-exploit/
AFKSystem,2021,"$8,000,000 ",https://www.publish0x.com/make-money-private-again/afk-systems-con-job-and-safety-of-defi-protocols-xrnpoke
PlusTokenPonzi,2019,"$2,000,000,000 ",https://blog.chainalysis.com/reports/plustoken-scam-bitcoin-price/
DAOMaker Exploiter,2021,"$7,000,000 ",https://www.coindesk.com/markets/2021/08/12/crypto-fundraising-dao-loses-over-7m-in-latest-crypto-exploit/
PunkProtocolExploiter,2021,"$3,950,000 ",https://rekt.news/punkprotocol-rekt/
MetaDAORug,2021,"$3,200,000 ",https://cryptobriefing.com/metadao-makes-off-with-3-2m-in-rug-pull/
MisoFrontEndExploiter,2021,"$3,000,000 ",https://arstechnica.com/information-technology/2021/09/cryptocurrency-launchpad-hit-by-3-million-supply-chain-attack/
PancakeHunnyExploiter,2021,"$2,000,000 ",https://cointelegraph.com/news/pancakebunny-tanks-96-following-200m-flash-loan-exploit
BrincFinanceExploiter,2021,"$1,100,000 ",https://beosin.medium.com/brinc-finance-was-attacked-due-to-private-key-leakage-resulting-in-the-loss-of-290-eth-6758cb810bce
NowSwapExploiter,2021,"$1,000,000 ",https://www.halborn.com/blog/post/explained-the-nowswap-protocol-hack-september-2021
Vesper Finance VUSD Exploiter,2021,"$1,000,000 ",https://twitter.com/VesperFi/status/1476713007526957065
SpankChainHacker,2018,"$40,000 ",https://www.coindesk.com/markets/2018/10/09/spankchain-loses-40k-in-hack-due-to-smart-contract-bug/
Wault Finance Exploiter,2021,"$800,000 ",https://twitter.com/PolygonNews_/status/1422747092980670467
Upbit Hacker 1,2019,"$49,000,000 ",https://upbit.com/service_center/notice?id=1085
ImpossibleFinanceExploiter,2021,"$500,000 ",https://watchpug.medium.com/impossible-finance-exploit-root-cause-analysis-ba0ed7c151e4
ForceVaultHacker,2021,"$376,000 ",https://chubk.com/force-dao-was-attacked-by-hacker-force-price-immediately-dropped-by-more-than-90/
SashimiSwapExploiter,2021,"$210,000 ",https://www.certik.com/zh-CN/resources/blog/5oR0Gztxndo3YZcdcWxPzZ-sashimi-swap-exploit
0xhabitat.eth Multisig Drainer,2021,"$123,983.57 ",https://slowmist.medium.com/gnosis-safe-multisig-user-incident-analysis-9a270b8e1452
RUNETokenExploiter,2021,"$76,000 ",https://ultcoin365.com/zh/by-giving-up-free-tokens-a-clever-attacker-takes-76000-in-rune/
Warp.Finance Hacker,2020,"$7,700,000 ",https://www.theblockcrypto.com/linked/88415/defi-warp-finance-attacked-lost-7-7-million-stablecoins
BELLEHoneypotRugPull,2021,,https://twitter.com/willmorriss4/status/1459363637940801542
ChainPortExploiter,2021,,https://medium.com/chainport/chainport-security-breach-report-c16a636f1a70
MommyMilkersHoneypotToken,2021,,https://cn.thebittimes.com/token-MILKERS-BSC-0x428a8ee96954e87ca6527717ec34ec0e5ada8ec7.html
